Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,MATH 2205,Probability and Statistics,B,MUn,"May 13, 2024",02:00 PM - 04:00 PM,401 (011193029-011222062)                                                                                                                                                                                                                       402 (011222067-0112310303)
BSCSE,MATH 2205,Probability and Statistics,C,MUn,"May 13, 2024",02:00 PM - 04:00 PM,328 (011201079-011222215)                                                                                                                                                                                                                       329 (011222254-0112310231)
BSCSE,MATH 2205,Probability and Statistics,D,AkAd,"May 13, 2024",02:00 PM - 04:00 PM,324 (011191034-011222178)                                                                                                                                                                                                                       325 (011222263-0112310249)
BSCSE,MATH 2205,Probability and Statistics,E,AkAd,"May 13, 2024",02:00 PM - 04:00 PM,322 (011191014-011221451)                                                                                                                                                                                                                       323 (011221455-0112310255)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,A,AkAd,"May 13, 2024",02:00 PM - 04:00 PM,403 (011172130-011221520)                                                                                                                                                                                                                       404 (011221521-0152330106)
BSCSE,MATH 2205/STAT 205,Probability and Statistics,F,MUn,"May 13, 2024",02:00 PM - 04:00 PM,805 (011162003-011212166)                                                                                                                                                                                                                       806 (011213095-0112331150)
BSCSE,CSE 3811,Artificial Intelligence,A,RRK,"May 14, 2024",09:00 AM - 11:00 AM,328 (011191014-011221245)                                                                                                                                                                                                                       329 (011221252-011222284)
BSCSE,CSE 3811,Artificial Intelligence,B,MTR,"May 14, 2024",09:00 AM - 11:00 AM,406 (011192056-011213021)                                                                                                                                                                                                                       407 (011213069-011221483)
BSCSE,CSE 3811/CSI 341,Artificial Intelligence,C,SMTT,"May 14, 2024",09:00 AM - 11:00 AM,330 (011151218-011202066)                                                                                                                                                                                                                       401 (011202169-0112310573)
BSCSE,CSE 3811/CSI 341,Artificial Intelligence,D,RRK,"May 14, 2024",09:00 AM - 11:00 AM,402 (011181193-011213016)                                                                                                                                                                                                                       403 (011213030-011221376)
BSCSE,CSE 3811/CSI 341,Artificial Intelligence,E,ShKS,"May 14, 2024",09:00 AM - 11:00 AM,404 (011181018-011213062)                                                                                                                                                                                                                       405 (011213063-011221469)
BSCSE,CSE 4451,Human Computer Interaction,A,ShKS,"May 14, 2024",09:00 AM - 11:00 AM,803 (011191139-011201233)                                                                                                                                                                                                                       805 (011201289-011222212)
BSCSE,CSE 4451,Human Computer Interaction,B,ShKS,"May 14, 2024",09:00 AM - 11:00 AM,806 (011183062-011201250)                                                                                                                                                                                                                       903 (011201259-011212148)
BSEEE,EEE 205/EEE 2203,Energy Conversion II,A,IA,"May 14, 2024",09:00 AM - 11:00 AM,803 (021162038-021221002)                                                                                                                                                                                                                       804 (021221003-021222031)
BSEEE,MAT 1101/MATH 003,Calculus I/Elementary Calculus,A,AM,"May 14, 2024",09:00 AM - 11:00 AM,322 (021191060-0212330141)                                                                                                                                                                                                                       323 (0212330166-0212410049)
BSEEE,MAT 1101/MATH 003,Calculus I/Elementary Calculus,B,AM,"May 14, 2024",09:00 AM - 11:00 AM,806 (021183013-0212330114)                                                                                                                                                                                                                       903 (0212330123-0212410052)
BSCSE,CSE 2213,Discrete Mathematics,A,CAG,"May 14, 2024",11:30 AM - 01:30 PM,409 (0112230738-0112410009)                                                                                                                                                                                                                       410 (0112410010-0112410536)
BSCSE,CSE 2213,Discrete Mathematics,C,ASKP,"May 14, 2024",11:30 AM - 01:30 PM,603 (011221313-0112410062)                                                                                                                                                                                                                       604 (0112410064-0112410495)
BSCSE,CSE 2213,Discrete Mathematics,D,KBJ,"May 14, 2024",11:30 AM - 01:30 PM,402 (011212025-0112410088)                                                                                                                                                                                                                       605 (0112410089-0152330153)
BSCSE,CSE 2213,Discrete Mathematics,E,MEHq,"May 14, 2024",11:30 AM - 01:30 PM,403 (011222003-0112410111)                                                                                                                                                                                                                       404 (0112410112-0112410410)
BSCSE,CSE 2213,Discrete Mathematics,G,KBJ,"May 14, 2024",11:30 AM - 01:30 PM,431 (011201297-0112410156)                                                                                                                                                                                                                       429 (0112410157-0112410542)
BSCSE,CSE 2213,Discrete Mathematics,H,ShAn,"May 14, 2024",11:30 AM - 01:30 PM,407 (011221251-0112410194)                                                                                                                                                                                                                       408 (0112410195-0112410497)
BSCSE,CSE 2213,Discrete Mathematics,I,ASKP,"May 14, 2024",11:30 AM - 01:30 PM,432 (011202075-0112410504)
BSCSE,CSE 2213,Discrete Mathematics,K,SEA,"May 14, 2024",11:30 AM - 01:30 PM,411 (0112330282-0112410229)                                                                                                                                                                                                                       423 (0112410230-0112410548)
